epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,323.264,1.70281,0.91164,1.11286,0.92061,0.80401,0.83936,0.59065,1.02214,0.63039,0.96483,0.000658009,0.000658009,0.000658009
2,625.705,1.01806,0.58729,0.92702,0.94902,0.8295,0.86442,0.651,0.81679,0.51131,0.88763,0.00129845,0.00129845,0.00129845
3,925.849,0.96389,0.55118,0.90479,0.94545,0.83748,0.87104,0.6621,0.83025,0.5037,0.88287,0.00191248,0.00191248,0.00191248
4,1229.64,0.95002,0.54014,0.89319,0.94173,0.83339,0.87554,0.6792,0.77708,0.47688,0.86963,0.0018812,0.0018812,0.0018812
5,1534.97,0.92608,0.52412,0.88522,0.9478,0.83927,0.88088,0.69252,0.72756,0.45811,0.86285,0.0018416,0.0018416,0.0018416
6,1839.13,0.93562,0.52849,0.88468,0.9517,0.83726,0.88197,0.69624,0.71227,0.45577,0.86133,0.001802,0.001802,0.001802
7,2140.32,0.87948,0.50446,0.8778,0.94441,0.83873,0.87466,0.68493,0.74431,0.47193,0.86424,0.0017624,0.0017624,0.0017624
8,2441.8,0.87251,0.50146,0.87663,0.94359,0.83831,0.88059,0.7044,0.69209,0.43956,0.85773,0.0017228,0.0017228,0.0017228
9,2747.59,0.90427,0.51669,0.88148,0.94509,0.84768,0.88224,0.69689,0.72911,0.46406,0.85888,0.0016832,0.0016832,0.0016832
10,3056.7,0.8615,0.49802,0.87338,0.94361,0.84225,0.88537,0.70885,0.67411,0.4471,0.85204,0.0016436,0.0016436,0.0016436
11,3357.89,0.83169,0.48406,0.87085,0.94546,0.83777,0.88317,0.71266,0.66837,0.42969,0.84986,0.001604,0.001604,0.001604
12,3657.62,0.84252,0.48174,0.86925,0.94538,0.84396,0.88988,0.71454,0.68527,0.42737,0.84853,0.0015644,0.0015644,0.0015644
13,3956.24,0.81615,0.47154,0.86817,0.94656,0.83918,0.88413,0.70997,0.68622,0.43919,0.85157,0.0015248,0.0015248,0.0015248
14,4257.97,0.8239,0.47408,0.86655,0.9443,0.84986,0.89153,0.72006,0.66111,0.42291,0.84577,0.0014852,0.0014852,0.0014852
15,4559.28,0.80322,0.46497,0.86274,0.95127,0.83742,0.8923,0.72511,0.65619,0.4186,0.8466,0.0014456,0.0014456,0.0014456
16,4860.27,0.81961,0.47011,0.86419,0.94832,0.84689,0.89157,0.71956,0.67336,0.42187,0.84393,0.001406,0.001406,0.001406
17,5210.39,0.81028,0.46429,0.86493,0.94665,0.84811,0.89191,0.72459,0.65696,0.41595,0.84472,0.0013664,0.0013664,0.0013664
18,5720.54,0.79339,0.45977,0.86096,0.94635,0.84922,0.8957,0.73085,0.6477,0.41366,0.84224,0.0013268,0.0013268,0.0013268
19,6275.66,0.79034,0.45531,0.85891,0.95028,0.84499,0.89291,0.72957,0.64502,0.4134,0.84298,0.0012872,0.0012872,0.0012872
20,6870.05,0.80022,0.45978,0.86269,0.94132,0.83974,0.89231,0.71797,0.68339,0.42055,0.84906,0.0012476,0.0012476,0.0012476
21,7457.39,0.79403,0.45366,0.85932,0.94332,0.84855,0.89564,0.72787,0.64594,0.40603,0.84399,0.001208,0.001208,0.001208
22,8049.97,0.78659,0.45303,0.85759,0.95313,0.84735,0.89464,0.72833,0.64831,0.41364,0.84009,0.0011684,0.0011684,0.0011684
23,8361.69,0.78764,0.45022,0.86035,0.94536,0.84662,0.89698,0.73182,0.64405,0.40293,0.83981,0.0011288,0.0011288,0.0011288
24,8668.55,0.78844,0.45217,0.85763,0.9475,0.8485,0.89475,0.72816,0.64921,0.40467,0.84156,0.0010892,0.0010892,0.0010892
25,8972.95,0.78582,0.44815,0.85991,0.9478,0.84829,0.89562,0.73136,0.63426,0.40483,0.83908,0.0010496,0.0010496,0.0010496
26,9278.51,0.80936,0.45914,0.85975,0.95237,0.84548,0.89201,0.7089,0.72027,0.42719,0.84689,0.00101,0.00101,0.00101
27,9584.21,0.8112,0.45383,0.86221,0.94953,0.84461,0.89285,0.71835,0.68613,0.42268,0.848,0.0009704,0.0009704,0.0009704
28,9891.83,0.7879,0.44729,0.85782,0.94732,0.85008,0.89943,0.73737,0.63003,0.39698,0.84007,0.0009308,0.0009308,0.0009308
29,10194.5,0.76078,0.43851,0.85301,0.9476,0.84916,0.89875,0.73873,0.62688,0.39669,0.83724,0.0008912,0.0008912,0.0008912
30,10499.4,0.78114,0.44377,0.85455,0.95414,0.85054,0.89786,0.74049,0.62216,0.38815,0.84143,0.0008516,0.0008516,0.0008516
31,10806.3,0.77209,0.43917,0.85569,0.9539,0.84951,0.90072,0.73764,0.6318,0.39209,0.84042,0.000812,0.000812,0.000812
32,11106.6,0.7561,0.43468,0.85043,0.94994,0.84916,0.89952,0.73693,0.62508,0.39247,0.83832,0.0007724,0.0007724,0.0007724
33,11410.5,0.7564,0.43014,0.85245,0.95566,0.84714,0.8967,0.73494,0.63281,0.39493,0.83776,0.0007328,0.0007328,0.0007328
34,11712.9,0.76265,0.43356,0.85452,0.95017,0.84978,0.89916,0.7369,0.62728,0.39248,0.83787,0.0006932,0.0006932,0.0006932
35,12189.1,0.76097,0.43387,0.8553,0.94889,0.84995,0.89938,0.73796,0.62478,0.38424,0.83818,0.0006536,0.0006536,0.0006536
36,12726.7,0.74244,0.42678,0.85371,0.94536,0.85179,0.89819,0.73858,0.62029,0.38922,0.83844,0.000614,0.000614,0.000614
37,13326.6,0.76176,0.43303,0.85223,0.94821,0.85004,0.89852,0.74336,0.6119,0.37896,0.83687,0.0005744,0.0005744,0.0005744
38,13920.7,0.75621,0.42722,0.8515,0.94715,0.85356,0.90026,0.73724,0.64157,0.38339,0.83824,0.0005348,0.0005348,0.0005348
